,time_range,year,area_naive,area_tpi,sst_mean_overall,sst_mean_coast,sst_mean_upwelling_naive,sst_mean_upwelling_tpi,chl_mean_overall,chl_mean_coast,chl_mean_upwelling_naive,chl_mean_upwelling_tpi
0,2015010120150108,2015,9408.4352,3380.1472,15.293042677129872,15.077942900933813,12.547179766871869,12.478055837779449,0.574376542999398,0.7169760093849821,2.834191600051664,2.697872354803219
1,2015010920150116,2015,10786.3296,2152.96,15.074391346128577,14.868226546147051,12.770024993190253,12.841926556174549,0.49814586574016007,0.5886149468081371,1.932962656411779,1.6125002300297622
2,2015011720150124,2015,20087.1168,430.592,14.953356173704103,14.835961657991877,12.585106102104255,12.38949771230725,0.6401941539935531,0.848798918788728,1.072102910273477,2.46919754626119
3,2015012520150201,2015,17159.0912,990.3616,15.218605402605952,15.062207560552167,12.687887720367447,13.757608387692313,0.5622822400285551,0.7370187220316841,1.090424275896468,0.9072117896122751
4,2015020220150209,2015,28289.894399999997,3703.0912,14.947971809934486,14.786519845674519,12.441031609133148,12.967428630144552,0.38293718534353405,0.46311442855218604,0.42633191208132004,0.713381917318318
5,2015021020150217,2015,8827.135999999999,1507.072,15.38055439144293,15.377983869464614,12.631147999174866,13.086483583520172,0.5541062174543231,0.715983648922022,0.765293360134987,1.7913719962216832
6,2015021820150225,2015,31906.867199999997,4155.212799999999,14.770993376734294,14.550238923079784,12.749313151628522,13.437460840122318,0.504804103279775,0.5982491488642301,1.2603196184646261,0.250982583971379
7,2015022620150305,2015,55008.128,2712.7295999999997,14.723329809725158,14.54205326236755,12.324079998746326,12.5538887058373,0.6745938905962401,0.900945245670779,1.433062024087648,3.41189565992387
8,2015030620150313,2015,23208.908799999997,7879.833599999999,15.210581181149823,15.207621944041088,12.19446719241215,12.91294187498097,1.0706027611795421,1.690691111082721,6.060434927168208,5.664467019830418
9,2015031420150321,2015,39420.6976,7018.6496,15.070407331326207,15.005173136149965,12.642149342030308,13.553644641946528,0.602483736213943,0.838040028326093,2.088456981635541,2.429499699310805
10,2015032220150329,2015,49410.43199999999,10097.382399999999,15.04571254624597,14.800374971834112,12.418907808500311,12.519992340737698,0.57658644676502,0.8282563063707781,1.3618384673343331,1.5365520934485821
11,2015033020150406,2015,115592.4224,21658.777599999998,14.365164083828356,13.953870665849157,12.0427178462576,11.530984348150731,0.8224254387659871,1.180154207623725,1.814004180689862,2.113714554161994
12,2015040720150414,2015,55158.835199999994,12917.759999999998,14.763190687310013,14.321471618831724,12.284672559944067,12.666323129752087,1.168465983787526,1.84863982372204,6.930012655602011,7.163390259478877
13,2015041520150422,2015,110812.85119999999,18515.456,14.30913810590171,13.83807654327593,11.530604124849864,11.436697465005272,1.4143032818496581,1.818055961356802,3.697529985295929,3.566244874528789
14,2015042320150430,2015,117573.14559999999,12379.519999999999,14.260405826353058,13.751966219095715,11.675361960008225,12.406778748534672,1.097107256638741,1.5747372003925162,3.338182545434789,3.091923789067692
15,2015050120150508,2015,144183.73119999998,11755.1616,13.694071988386533,13.234490299544593,11.459017294333774,12.21208320997757,1.9662796896986272,2.3221470744026362,3.564828019881647,2.877794843129387
16,2015050920150516,2015,121340.8256,12788.5824,14.037024424911136,13.526612012909174,11.695422324696102,11.088067707717137,1.037572868050803,1.515319557718792,3.078485215683433,4.7259849536540095
17,2015051720150524,2015,90445.84959999999,9731.3792,14.654670702024003,13.901801850344611,11.860749393622335,10.967681452802648,0.679922599110615,0.9939831233975461,1.400701192188817,2.07360877078299
18,2015052520150601,2015,83513.31839999999,37332.3264,14.084575762687523,13.495053469490875,10.412284864719354,10.200144440573492,0.48019004721622505,0.581977214178456,0.9892854119762581,1.561795019345638
19,2015060220150609,2015,72167.21919999999,26955.0592,14.94854484726373,14.404063699833593,11.932723540745313,11.741141949910311,0.8088976388623741,1.14463646080228,2.606757599329279,1.198910378670489
20,2015061020150617,2015,77355.8528,33844.5312,15.109864438026129,14.33075100874707,12.105031914065743,12.920602473790186,0.5804386394945,0.8120422629783121,1.770718670798631,0.6756653383401191
21,2015061820150625,2015,30421.3248,16104.1408,16.171969729259967,15.610184454094382,12.363284544287803,13.491795536969748,0.845340989398292,1.284671428538587,2.385116254439594,2.973415267372377
22,2015062620150703,2015,68744.0128,45319.808,15.463960466740835,14.635433421717872,12.14207534615183,12.804166753651034,0.419617075914584,0.8456176637062901,5.423693029795491,2.412824798598802
23,2015070420150711,2015,11023.1552,44221.7984,18.021576366278676,17.55682983007214,12.628588928860315,14.234955485235998,0.315339216227349,0.443922111200924,0.45323514987201,1.1701006797473221
24,2015071220150719,2015,6889.472,33521.587199999994,18.157085932084165,17.446865010825494,12.561102091808518,15.049400578388076,0.6346811328254031,0.8340948781170551,4.009156034693579,1.37752368540323
25,2015072020150727,2015,1614.7199999999998,9688.32,18.32066206477508,17.984682301347586,12.618923059031683,15.2804639006023,0.5047980230726881,0.750585626810593,4.866076338259981,2.476110095995092
26,2015072820150804,2015,1937.6639999999998,21206.656,19.203647224542184,18.72102247642332,12.483453872790035,15.976007251365772,0.46599227150688804,0.665113903482288,5.048237989402851,2.352833903415772
27,2015080520150812,2015,150.7072,11884.339199999999,19.25325457218486,18.807501461834338,12.015001815140113,16.220944589416934,0.402687708704941,0.514027795963904,1.070513955540338,1.365211906563261
28,2015081320150820,2015,193.76639999999998,16405.5552,19.175353300724733,18.5985209012436,12.886696186323936,16.59760945028548,0.502241339578765,0.694374680391449,0.8162706137587361,1.228747472625097
